Tweet,Label
Emergency services needed in Nairobi after chaos erupted #KenyaUnrest,Civil Unrest
Heavy police presence in Westlands after planned protest announcement,Civil Unrest
Sports day postponed due to tension in the city #PeaceNotWar,Civil Unrest
Sports day postponed due to tension in the city #PeaceNotWar,Civil Unrest
Huge crowds on Kenyatta Avenue demanding reforms,No Civil Unrest
Residents evacuating after rumors of protests #StaySafe,Civil Unrest
Hope prevails in Kibera after weeks of tension #Peace,Civil Unrest
Calm restored after peaceful dialogue #PeaceInKenya,No Civil Unrest
Residents evacuating after rumors of protests #StaySafe,Civil Unrest
Massive traffic due to demonstrations on Uhuru Highway,Civil Unrest
Calm restored after peaceful dialogue #PeaceInKenya,No Civil Unrest
Businesses looted in the chaos near Eastleigh,Civil Unrest
Panic buying in supermarkets after fears of unrest spread,Civil Unrest
Police clash with protesters in Mathare,Civil Unrest
Powerful message of peace at today's prayer rally #PrayersForKenya,No Civil Unrest
Panic buying in supermarkets after fears of unrest spread,Civil Unrest
We demand justice for unfair elections! #UnrestNairobi,Civil Unrest
Residents evacuating after rumors of protests #StaySafe,Civil Unrest
Civil unrest is escalating in Nairobi with no solution in sight,Civil Unrest
Hope prevails in Kibera after weeks of tension #Peace,Civil Unrest
Businesses looted in the chaos near Eastleigh,Civil Unrest
Kenya is stronger than this. Let's unite for peace #Unity,No Civil Unrest
"Protest happening in Nairobi CBD, roads blocked",Civil Unrest
Youth mobilization for peaceful demonstrations tomorrow #PeaceMarch,Civil Unrest
We demand justice for unfair elections! #UnrestNairobi,Civil Unrest
We demand justice for unfair elections! #UnrestNairobi,Civil Unrest
We demand justice for unfair elections! #UnrestNairobi,Civil Unrest
Police clash with protesters in Mathare,Civil Unrest
Huge crowds on Kenyatta Avenue demanding reforms,No Civil Unrest
Panic buying in supermarkets after fears of unrest spread,Civil Unrest
Massive traffic due to demonstrations on Uhuru Highway,Civil Unrest
Businesses looted in the chaos near Eastleigh,Civil Unrest
Sports day postponed due to tension in the city #PeaceNotWar,Civil Unrest
Hope prevails in Kibera after weeks of tension #Peace,Civil Unrest
We demand justice for unfair elections! #UnrestNairobi,Civil Unrest
"Protest happening in Nairobi CBD, roads blocked",Civil Unrest
We demand justice for unfair elections! #UnrestNairobi,Civil Unrest
Calm restored after peaceful dialogue #PeaceInKenya,No Civil Unrest
Emergency services needed in Nairobi after chaos erupted #KenyaUnrest,Civil Unrest
Youth mobilization for peaceful demonstrations tomorrow #PeaceMarch,Civil Unrest
Police clash with protesters in Mathare,Civil Unrest
Residents evacuating after rumors of protests #StaySafe,Civil Unrest
Youth mobilization for peaceful demonstrations tomorrow #PeaceMarch,Civil Unrest
Youth mobilization for peaceful demonstrations tomorrow #PeaceMarch,Civil Unrest
Sports day postponed due to tension in the city #PeaceNotWar,Civil Unrest
"Protest happening in Nairobi CBD, roads blocked",Civil Unrest
Police clash with protesters in Mathare,Civil Unrest
Heavy police presence in Westlands after planned protest announcement,Civil Unrest
Powerful message of peace at today's prayer rally #PrayersForKenya,No Civil Unrest
Situation tense in Kasarani after riot rumors #UnrestAlert,Civil Unrest
Community leaders calling for calm and dialogue #KenyaDialogue,No Civil Unrest
Situation tense in Kasarani after riot rumors #UnrestAlert,Civil Unrest
"Protest happening in Nairobi CBD, roads blocked",Civil Unrest
Residents evacuating after rumors of protests #StaySafe,Civil Unrest
Powerful message of peace at today's prayer rally #PrayersForKenya,No Civil Unrest
Community leaders calling for calm and dialogue #KenyaDialogue,No Civil Unrest
Kenya is stronger than this. Let's unite for peace #Unity,No Civil Unrest
Massive traffic due to demonstrations on Uhuru Highway,Civil Unrest
